character_id,character_name,page_slug,player_id,player_main_handle,player_known_by,player_link_confidence,player_link_evidence_id,derived_race,derived_subrace,derived_faction,derived_faction_confidence,derived_base_class,derived_who_class_group,derived_class_title,derived_class_confidence,derived_class_skill_notes,derived_class_level_restriction_notes,derived_class_race_restriction_notes,derived_class_alignment_restriction_notes,derived_gender,derived_gender_confidence,derived_immortal_rank,derived_immortal_code,derived_immortal_role,classification_status,has_whois_display,has_colour_whois,whois_display_html_path,whois_display_text_path,whois_capture_id,whois_capture_quality,mention_count,mention_high_confidence_count,mention_matched_known_count,mention_type_summary,mention_preview,has_ascii_art,ascii_art_count,best_ascii_art_score,group_candidate_count,group_candidate_confidence_summary,classification_review_needed,page_review_needed
char_aalio,Aalio,aalio,player_0003,Burb,Burb,medium,evidence_player_group_0003,Hobbit,Fallohide,Free Peoples,medium,General,General,Hero,medium,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/aalio.html,data/evidence/whois_display/text/aalio.txt,mha:aalio:1780897598:166b4798,high,0,0,0,,,no,0,,0,,no,no
char_aalok,Aalok,aalok,player_0092,Basha,Basha,medium,evidence_player_group_0092,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_aaz,Aaz,aaz,player_0200,Helga,Helga [Aleks],medium,evidence_player_group_0200,Orc,Tarkhnarb,Minions of Sauron,high,General,General,Champion,medium,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/aaz.html,data/evidence/whois_display/text/aaz.txt,mha:aaz:1780961768:a25b8baf,high,0,0,0,,,no,0,,0,,no,no
char_abraxas,Abraxas,abraxas,player_0106,Rael,Rael [Dario],medium,evidence_player_group_0106,Dwarf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/abraxas.html,data/evidence/whois_display/text/abraxas.txt,mha:abraxas:1780898720:17462cb9,high,0,0,0,,,no,0,,0,,no,no
char_acheron,Acheron,acheron,player_0058,Steele,Steele [Dan],medium,evidence_player_group_0058,Elf,Sindarin,Free Peoples,medium,General,General,Champion,medium,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/acheron.html,data/evidence/whois_display/text/acheron.txt,mha:acheron:1780898725:7024ae55,high,0,0,0,,,no,0,,0,,no,no
char_achilles,Achilles,achilles,player_0002,Ajax,Ajax,medium,evidence_player_group_0002,Man,Dúnedain,Free Peoples,medium,General,General,Hero,medium,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/achilles.html,data/evidence/whois_display/text/achilles.txt,mha:achilles:1780898731:c15a6348,high,0,0,0,,,no,0,,0,,no,no
char_adama,Adama,adama,player_0185,Buggar,Buggar [Adam],medium,evidence_player_group_0185,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_adanedhel,Adanedhel,adanedhel,player_0038,Sabadon,Sabadon,medium,evidence_player_group_0038,Man,,Free Peoples,medium,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/adanedhel.html,data/evidence/whois_display/text/adanedhel.txt,mha:adanedhel:1780898742:2f8a81e4,high,0,0,0,,,no,0,,0,,no,no
char_adorable,Adorable,adorable,player_0063,Ling,Ling,medium,evidence_player_group_0063,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_aegon,Aegon,aegon,player_0103,Edvard,Edvard [Aron],medium,evidence_player_group_0103,Man,,Free Peoples,medium,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/aegon.html,data/evidence/whois_display/text/aegon.txt,mha:aegon:1780899052:5d70161c,high,0,0,0,,,no,0,,0,,no,no
char_aew,Aew,aew,player_0194,Morfizm,Morfizm [Dmitry],medium,evidence_player_group_0194,Elf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/aew.html,data/evidence/whois_display/text/aew.txt,mha:aew:1780899058:fbb685f2,high,0,0,0,,,no,0,,0,,no,no
