whois_id,character_id,character_name,slug,descriptor,status,text_path,html_path,has_raw_text,has_raw_html,has_raw_decho,parse_confidence,notes
whois_woland_1780810956,char_woland,Woland,woland,Black Númenórean,Retired,data/evidence/whois/text/woland.txt,data/evidence/whois/html/woland.html,yes,no,no,medium,query_name=woland | display_name=Woland the Professor of Black Magic | epithet_or_title=the Professor of Black Magic
whois_tauno_1780819357,,Tauno,tauno,Dwarven Ranger,Retired,data/evidence/whois/text/tauno.txt,data/evidence/whois/html/tauno.html,yes,no,no,medium,"query_name=tauno | display_name=Tauno Tumpelo, 7th Tumunzahar Battalion | epithet_or_title=Tumpelo, 7th Tumunzahar Battalion | Last login 20 years, 8 months, and 4 days ago from *.fi."
whois_mume_1780820791,,MUME,mume,Maia,,data/evidence/whois/text/mume.txt,data/evidence/whois/html/mume.html,yes,no,no,low,"query_name=bladorfat | display_name=MUME.Client protocol error: {""message"":""GMCP JSON parse error: \""[ \\\""Char 1\\\"", \\\""Client 1\\\"", \\\""Room 1\\\"" \""""}Bladorfat | epithet_or_title=.Client protocol error: {""message"":""GMCP JSON parse error: \""[ \\\""Char 1\\\"", \\\""Client 1\\\"", \\\""Room 1\\\"" \""""}Bladorfat | role=Cartographer | Capture appears to include protocol/output corruption; raw text preserved."
whois_gray_1780820809,char_gray,Gray,gray,Noldorin Wizard,Retired,data/evidence/whois/text/gray.txt,data/evidence/whois/html/gray.html,yes,no,no,medium,"query_name=gray | display_name=Gray the Expert | epithet_or_title=the Expert | Last login 20 years, 4 months, and 12 days ago from [numerical address]."
whois_corvin_1780831178,char_corvin,Corvin,corvin,Silvan Hunter,Retired,data/evidence/whois/text/corvin.txt,data/evidence/whois/html/corvin.html,yes,no,no,medium,"query_name=corvin | display_name=Corvin - one of the Nine | epithet_or_title=- one of the Nine | Last login 22 years, 5 months, and 8 days ago from [numerical address]."
whois_gray_1780831197,char_gray,Gray,gray-2,Noldorin Wizard,,data/evidence/whois/text/gray-2.txt,data/evidence/whois/html/gray-2.html,yes,no,no,medium,"query_name=gray | display_name=Gray the Expert | epithet_or_title=the Expert | Last login 20 years, 4 months, and 12 days ago from [numerical address]."
whois_candid_1780831207,char_candid,Candid,candid,level,,data/evidence/whois/text/candid.txt,data/evidence/whois/html/candid.html,yes,no,no,medium,"query_name=candid | display_name=Candid the Sniper - Nothing Sacred | epithet_or_title=the Sniper - Nothing Sacred | Last login 22 years, 6 months, and 29 days ago from [numerical address]."
whois_santana_1780831482,char_santana,Santana,santana,Tarkhnarb Assassin,,data/evidence/whois/text/santana.txt,data/evidence/whois/html/santana.html,yes,no,no,medium,query_name=santana | display_name=Santana
whois_candid_1780831491,char_candid,Candid,candid-2,level,,data/evidence/whois/text/candid-2.txt,data/evidence/whois/html/candid-2.html,yes,no,no,medium,"query_name=candid | display_name=Candid the Sniper - Nothing Sacred | epithet_or_title=the Sniper - Nothing Sacred | Last login 22 years, 6 months, and 29 days ago from [numerical address]."
whois_candid_1780832128,char_candid,Candid,candid-3,Noldorin Scout,Retired,data/evidence/whois/text/candid-3.txt,data/evidence/whois/html/candid-3.html,yes,no,no,medium,"query_name=candid | display_name=Candid the Sniper - Nothing Sacred | epithet_or_title=the Sniper - Nothing Sacred | Last login 22 years, 6 months, and 29 days ago from [numerical address]."
