character_id,character_name,query_name,capture_id,capture_quality,descriptor,slug,text_path,html_path,has_raw_text,has_raw_decho,has_raw_html,raw_colour_format,source_archive
,2006!11one,Déor,mha:déor:1781579029:6a4a12d9,high,Vala,2006-11one,data/evidence/whois_display/text/2006-11one.txt,data/evidence/whois_display/html/2006-11one.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
,[Tired],Baw,mha:baw:1781577865:01799a1d,high,Maia,tired,data/evidence/whois_display/text/tired.txt,data/evidence/whois_display/html/tired.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_access,Access,Access,mha:access:1781576616:20b3bbab,high,Maia,access,data/evidence/whois_display/text/access.txt,data/evidence/whois_display/html/access.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_acke,Acke,Acke,mha:acke:1781576622:7d59c78e,high,Maia,acke,data/evidence/whois_display/text/acke.txt,data/evidence/whois_display/html/acke.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_ada,Ada,Ada,mha:ada:1781576628:e381af5f,high,Maia,ada,data/evidence/whois_display/text/ada.txt,data/evidence/whois_display/html/ada.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_adara,Adara,Adara,mha:adara:1781576633:b576f8aa,high,lost is a Maia,adara,data/evidence/whois_display/text/adara.txt,data/evidence/whois_display/html/adara.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_aderel,Aderel,Aderel,mha:aderel:1781576639:9b14f5c0,high,Maia,aderel,data/evidence/whois_display/text/aderel.txt,data/evidence/whois_display/html/aderel.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_aderyn,Aderyn,Aderyn,mha:aderyn:1781576644:b495f3f0,high,Maia,aderyn,data/evidence/whois_display/text/aderyn.txt,data/evidence/whois_display/html/aderyn.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_aellynn,Aellynn,Aellynn,mha:aellynn:1781576650:8aeeeeab,high,Maia,aellynn,data/evidence/whois_display/text/aellynn.txt,data/evidence/whois_display/html/aellynn.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_aetirus,Aetirus,Aetirus,mha:aetirus:1781576655:55b5b335,high,Maia,aetirus,data/evidence/whois_display/text/aetirus.txt,data/evidence/whois_display/html/aetirus.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_agamand,Agamand,Agamand,mha:agamand:1781576661:a3e255f8,high,Maia,agamand,data/evidence/whois_display/text/agamand.txt,data/evidence/whois_display/html/agamand.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_aglaruin,Aglaruin,Aglaruin,mha:aglaruin:1781576666:0657582c,high,Maia,aglaruin,data/evidence/whois_display/text/aglaruin.txt,data/evidence/whois_display/html/aglaruin.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_ahti,Ahti,Ahti,mha:ahti:1781576672:638f569f,high,Drosophila Melanogaster. is a Maia,ahti,data/evidence/whois_display/text/ahti.txt,data/evidence/whois_display/html/ahti.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_ahura,Ahura,Ahura,mha:ahura:1781576677:cb7842ad,high,Maia,ahura,data/evidence/whois_display/text/ahura.txt,data/evidence/whois_display/html/ahura.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_aielë,Aielë,Aielë,mha:aielë:1781576683:be50687c,high,Maia,aiele,data/evidence/whois_display/text/aiele.txt,data/evidence/whois_display/html/aiele.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
char_aikios,Aikios,Aikios,mha:aikios:1781576688:04d4f116,high,Maia,aikios,data/evidence/whois_display/text/aikios.txt,data/evidence/whois_display/html/aikios.html,yes,yes,yes,plain+decho+html,/Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json
