character_key,first_source_id,immortal_statuses,immortal_categories,is_maiar_muddler,honorary_immortal,reason,review_status
Access,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Acke,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ada,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Adara,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Aderel,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Aderyn,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Aellynn,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Aetirus,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Agamand,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Aglaruin,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ahti,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ahura,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Aielë,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Aikios,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ainagul,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Air,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ajax,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Akihiko,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Alamar,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Alantir,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Alderon,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Aldor,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Aldro,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Alec,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Aleksey,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Algolas,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Alkar,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
Almarea,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Almarian,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Aloonion,2026_06_16_current_immortals,current,Maiar,yes,no,immortal_list_2026_06_16,candidate
Alysia,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Amandil,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
Ame,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Amlion,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Ammon,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Amras,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ancalagon,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
Andela,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Andreas,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Andróg,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
