character_name,character_id,already_checked,priority,notes
Aalio,char_aalio,true,normal,whois imported from Mudlet archive
Aalok,char_aalok,true,normal,whois returned no extant character information in MUME
Aaz,char_aaz,true,normal,whois imported from Mudlet archive
Abraxas,char_abraxas,true,normal,whois imported from Mudlet archive
Acheron,char_acheron,true,normal,whois imported from Mudlet archive
Achilles,char_achilles,true,normal,whois imported from Mudlet archive
Adama,char_adama,true,normal,whois returned no extant character information in MUME
Adanedhel,char_adanedhel,true,normal,whois imported from Mudlet archive
Adorable,char_adorable,true,normal,whois returned no extant character information in MUME
Aegon,char_aegon,true,normal,whois imported from Mudlet archive
Aew,char_aew,true,normal,whois imported from Mudlet archive
Agan,char_agan,true,normal,whois imported from Mudlet archive
Agannalo,char_agannalo,true,normal,whois returned no extant character information in MUME
Agannardu,char_agannardu,true,normal,whois imported from Mudlet archive
Agarakhor,char_agarakhor,true,normal,whois imported from Mudlet archive
Agarde,char_agarde,true,normal,whois returned no extant character information in MUME
Agattax,char_agattax,true,normal,whois returned no extant character information in MUME
Agent,char_agent,true,normal,whois returned no extant character information in MUME
Aglar,char_aglar,true,normal,whois imported from Mudlet archive
Agonor,char_agonor,true,normal,whois imported from Mudlet archive
Aiele,char_aiele,true,normal,whois imported from Mudlet archive
Ainafea,char_ainafea,true,normal,whois returned no extant character information in MUME
Ainairos,char_ainairos,true,normal,whois returned no extant character information in MUME
Ajax,char_ajax,true,normal,whois imported from Mudlet archive
Akhorahil,char_akhorahil,true,normal,whois imported from Mudlet archive
AlBundy,char_albundy,true,normal,whois returned no extant character information in MUME
Alantir,char_alantir,true,normal,whois imported from Mudlet archive
Alazar,char_alazar,true,normal,whois imported from Mudlet archive
Alcion,char_alcion,true,normal,whois imported from Mudlet archive
Alderik,char_alderik,true,normal,whois imported from Mudlet archive
Alf,char_alf,true,normal,whois imported from Mudlet archive
Alfank,char_alfank,true,normal,whois imported from Mudlet archive
Alfo,char_alfo,true,normal,whois imported from Mudlet archive
Alfrim,char_alfrim,true,normal,whois imported from Mudlet archive
Algaron,char_algaron,true,normal,whois imported from Mudlet archive
Alhadar,char_alhadar,true,normal,whois imported from Mudlet archive
Ali,char_ali,true,normal,whois imported from Mudlet archive
Alicia,char_alicia,true,normal,whois imported from Mudlet archive
Alizee,char_alizee,true,normal,whois imported from Mudlet archive
Alkar,char_alkar,true,normal,whois imported from Mudlet archive
Almarian,char_almarian,true,normal,whois imported from Mudlet archive
Alvedon,char_alvedon,true,normal,whois imported from Mudlet archive
Alweon,char_alweon,true,normal,whois imported from Mudlet archive
Amandil,char_amandil,true,normal,whois imported from Mudlet archive
Amantest,char_amantest,true,normal,whois returned no extant character information in MUME
Amarant,char_amarant,true,normal,whois imported from Mudlet archive
Amarie,char_amarie,true,normal,whois imported from Mudlet archive
Ambolt,char_ambolt,true,normal,whois imported from Mudlet archive
Amdir,char_amdir,true,normal,whois imported from Mudlet archive
Amelia,char_amelia,true,normal,whois imported from Mudlet archive
Anaconda,char_anaconda,true,normal,whois imported from Mudlet archive
Anardil,char_anardil,true,normal,whois imported from Mudlet archive
Ancalimon,char_ancalimon,true,normal,whois imported from Mudlet archive
Ancra,char_ancra,true,normal,whois returned no extant character information in MUME
Andarion,char_andarion,true,normal,whois returned no extant character information in MUME
Andore,char_andore,true,normal,whois imported from Mudlet archive
Andris,char_andris,true,normal,whois imported from Mudlet archive
Anezka,char_anezka,true,normal,whois imported from Mudlet archive
Angrenfea,char_angrenfea,true,normal,whois returned no extant character information in MUME
AnneilBalkassoon,char_anneilbalkassoon,true,normal,whois imported from Mudlet archive
Anner,char_anner,true,normal,whois imported from Mudlet archive
Annesh,char_annesh,true,normal,whois returned no extant character information in MUME
Anolad,char_anolad,true,normal,whois imported from Mudlet archive
Anselmo,char_anselmo,true,normal,whois imported from Mudlet archive
Antar,char_antar,true,normal,whois imported from Mudlet archive
Anton,char_anton,true,normal,whois imported from Mudlet archive
Aragil,char_aragil,true,normal,whois imported from Mudlet archive
Araglas,char_araglas,true,normal,whois imported from Mudlet archive
Arakon,char_arakon,true,normal,whois imported from Mudlet archive
Aram,char_aram,true,normal,whois imported from Mudlet archive
Aranka,char_aranka,true,normal,whois imported from Mudlet archive
Ardent,char_ardent,true,normal,whois imported from Mudlet archive
Arelia,char_arelia,true,normal,whois imported from Mudlet archive
Ares,char_ares,true,normal,whois imported from Mudlet archive
Arglebargle,char_arglebargle,true,normal,whois imported from Mudlet archive
Arhar,char_arhar,true,normal,whois imported from Mudlet archive
Ariakan,char_ariakan,true,normal,whois returned no extant character information in MUME
Ariala,char_ariala,true,normal,whois returned no extant character information in MUME
Aris,char_aris,true,normal,whois imported from Mudlet archive
Arkady,char_arkady,true,normal,whois returned no extant character information in MUME
Arkine,char_arkine,true,normal,whois imported from Mudlet archive
Arla,char_arla,true,normal,whois imported from Mudlet archive
Arn,char_arn,true,normal,whois imported from Mudlet archive
Arnoc,char_arnoc,true,normal,whois returned no extant character information in MUME
Aros,char_aros,true,normal,whois returned no extant character information in MUME
Arte,char_arte,true,normal,whois imported from Mudlet archive
Artigor,char_artigor,true,normal,whois returned no extant character information in MUME
Asanda,char_asanda,true,normal,whois returned no extant character information in MUME
Aschit,char_aschit,true,normal,whois imported from Mudlet archive
Aseff,char_aseff,true,normal,whois returned no extant character information in MUME
Ashmash,char_ashmash,true,normal,whois imported from Mudlet archive
Asmandeus,char_asmandeus,true,normal,whois imported from Mudlet archive
Assa,char_assa,true,normal,whois returned no extant character information in MUME
Astar,char_astar,true,normal,whois returned no extant character information in MUME
Athela,char_athela,true,normal,whois imported from Mudlet archive
Atlas,char_atlas,true,normal,whois imported from Mudlet archive
Audi,char_audi,true,normal,whois returned no extant character information in MUME
Auriane,char_auriane,true,normal,whois imported from Mudlet archive
Ausir,char_ausir,true,normal,whois imported from Mudlet archive
Avenir,char_avenir,true,normal,whois imported from Mudlet archive
Awesome,char_awesome,true,normal,whois imported from Mudlet archive
Axel,char_axel,true,normal,whois imported from Mudlet archive
Azalyn,char_azalyn,true,normal,whois imported from Mudlet archive
Azazello,char_azazello,true,normal,whois imported from Mudlet archive
Azazhel,char_azazhel,true,normal,whois imported from Mudlet archive
Azg,char_azg,true,normal,whois imported from Mudlet archive
Azhal,char_azhal,true,normal,whois returned no extant character information in MUME
Azmodan,char_azmodan,true,normal,whois imported from Mudlet archive
