whois_id,character_id,character_name,captured_at,raw_text,parsed_level,parsed_race,parsed_class,status,parse_confidence,notes
whois_woland_1780810956,char_woland,Woland,2026-06-07 15:42:48,"Woland the Professor of Black Magic is a Black Númenórean [Retired].

'... who are you, then?'
     'I am part of that power which eternally wills evil and eternally works
good.'
     Goethe, Faust


                           Never trust. Never fear. Never beg.

![ CW iMc XP:0 2[0:2]>",,Black Númenórean,,Retired,medium,query_name=woland | display_name=Woland the Professor of Black Magic | epithet_or_title=the Professor of Black Magic
whois_tauno_1780819357,,Tauno,2026-06-07 18:02:38,"Tauno Tumpelo, 7th Tumunzahar Battalion is a level forty Dwarven
    Ranger [Retired].
Last login 20 years, 8 months, and 4 days ago from *.fi.

Foot Soldier, 7th Tumunzahar Battalion",40,Dwarven,Ranger,Retired,medium,"query_name=tauno | display_name=Tauno Tumpelo, 7th Tumunzahar Battalion | epithet_or_title=Tumpelo, 7th Tumunzahar Battalion | Last login 20 years, 8 months, and 4 days ago from *.fi."
whois_mume_1780820791,,MUME,2026-06-07 18:26:31,"MUME.Client protocol error: {""message"":""GMCP JSON parse error: \""[ \\\""Char 1\\\"", \\\""Client 1\\\"", \\\""Room 1\\\"" \""""}Bladorfat is a Maia (Cartographer).
Is playing from [numerical address].",,Maia,,,low,"query_name=bladorfat | display_name=MUME.Client protocol error: {""message"":""GMCP JSON parse error: \""[ \\\""Char 1\\\"", \\\""Client 1\\\"", \\\""Room 1\\\"" \""""}Bladorfat | epithet_or_title=.Client protocol error: {""message"":""GMCP JSON parse error: \""[ \\\""Char 1\\\"", \\\""Client 1\\\"", \\\""Room 1\\\"" \""""}Bladorfat | role=Cartographer | Capture appears to include protocol/output corruption; raw text preserved."
whois_grey_1780820803,,grey,2026-06-07 18:26:43,No one by that name.,,,,not_found,high,query_name=grey | MUME returned: No one by that name.
whois_gray_1780820809,char_gray,Gray,2026-06-07 18:26:50,"Gray the Expert is a level fifty Noldorin Wizard
    [Retired].
Last login 20 years, 4 months, and 12 days ago from
    [numerical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM",50,Noldorin,Wizard,Retired,medium,"query_name=gray | display_name=Gray the Expert | epithet_or_title=the Expert | Last login 20 years, 4 months, and 12 days ago from [numerical address]."
whois_corvin_1780831178,char_corvin,Corvin,2026-06-07 21:19:40,"Corvin - one of the Nine is a level forty Silvan Hunter
    [Retired].
Last login 22 years, 5 months, and 8 days ago from
    [numerical address].

  Three rings for the Assembly-kings under the sky,
  Seven for the C++-lords in their halls of stone,
  Nine for Basic Users doomed to die,
  One for Bill Gates on his sky-blue throne.

  In the Land of Redmond where the Bugs lie.
  One Ring to rule them all, one Ring to find them,
  One Ring to bring them all, and the GPF will bind them
  In the land of Redmond where the Bugs lie.

!# CW>",40,Silvan,Hunter,Retired,medium,"query_name=corvin | display_name=Corvin - one of the Nine | epithet_or_title=- one of the Nine | Last login 22 years, 5 months, and 8 days ago from [numerical address]."
whois_gray_1780831197,char_gray,Gray,2026-06-07 21:19:59,"Gray the Expert is a level fifty Noldorin Wizard
Gray the Expert is a level fifty Noldorin Wizard
    [Retired].
Last login 20 years, 4 months, and 12 days ago from
    [numerical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM

!# CW>",50,Noldorin,Wizard,,medium,"query_name=gray | display_name=Gray the Expert | epithet_or_title=the Expert | Last login 20 years, 4 months, and 12 days ago from [numerical address]."
whois_candid_1780831207,char_candid,Candid,2026-06-07 21:20:09,"Candid the Sniper - Nothing Sacred is a level
Candid the Sniper - Nothing Sacred is a level
    thirty-five Noldorin Scout [Retired].
Last login 22 years, 6 months, and 29 days ago from
    [numerical address].

  21/3/1/0, max warpoints: 18

!# CW>",,level,,,medium,"query_name=candid | display_name=Candid the Sniper - Nothing Sacred | epithet_or_title=the Sniper - Nothing Sacred | Last login 22 years, 6 months, and 29 days ago from [numerical address]."
whois_santana_1780831482,char_santana,Santana,2026-06-07 21:24:44,"Santana is a level twenty-six Tarkhnarb Assassin
Santana is a level twenty-six Tarkhnarb Assassin
    [Retired].

* W S C>exits
North - The glare of the sun burns your eyes.   <- street
East  - Lab Entrance
South - The glare of the sun burns your eyes.   <- street

* W S C>e
You feel so much better hiding in the shadows!  <- YEAH!!!
Your lovely lab where you play MUME.
Exits: East *West*.

!# CW>",26,Tarkhnarb Assassin,,,medium,query_name=santana | display_name=Santana
whois_candid_1780831491,char_candid,Candid,2026-06-07 21:24:53,"Candid the Sniper - Nothing Sacred is a level
Candid the Sniper - Nothing Sacred is a level
    thirty-five Noldorin Scout [Retired].
Last login 22 years, 6 months, and 29 days ago from
    [numerical address].

  21/3/1/0, max warpoints: 18

!# CW>",,level,,,medium,"query_name=candid | display_name=Candid the Sniper - Nothing Sacred | epithet_or_title=the Sniper - Nothing Sacred | Last login 22 years, 6 months, and 29 days ago from [numerical address]."
