character_id,character_name,player_id,player_main_handle,player_known_by,player_real_name,player_link_type,player_link_status,player_link_confidence,player_link_evidence_id,player_link_notes,immortal_list_status,immortal_list_category,is_maiar_muddler,honorary_immortal,immortal_list_source_id,immortal_list_source_name,immortal_list_source_date_context,immortal_list_evidence_id,immortal_list_review_status,immortal_list_notes,source_whois_id,source_descriptor,derived_race,derived_subrace,derived_faction,derived_faction_confidence,derived_base_class,derived_who_class_group,derived_class_title,derived_class_confidence,derived_class_skill_notes,derived_class_level_restriction_notes,derived_class_race_restriction_notes,derived_class_alignment_restriction_notes,derived_gender,derived_gender_confidence,derived_immortal_rank,derived_immortal_code,derived_immortal_role,classification_status,classification_notes,candidate_whois_rows,review_needed
char_aalio,Aalio,player_0003,Burb,Burb,,listed_same_player,accepted,medium,evidence_player_group_0003,,,,,,,,,,,,whois_aalio_1780895175,Fallohide Hero,Hobbit,Fallohide,Free Peoples,medium,General,General,Hero,medium,,,,,,,,,,classified,race_term=Fallohide | class_title=Hero | who_class_group=General | class_confidence=medium,2,no
char_aalok,Aalok,player_0092,Basha,Basha,,listed_same_player,accepted,medium,evidence_player_group_0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_aaz,Aaz,player_0200,Helga,Helga [Aleks],Aleks,listed_same_player,accepted,medium,evidence_player_group_0200,,,,,,,,,,,,whois_aaz_1780897622,Tarkhnarb Champion,Orc,Tarkhnarb,Minions of Sauron,high,General,General,Champion,medium,,,,,,,,,,classified,race_term=Tarkhnarb | class_title=Champion | who_class_group=General | class_confidence=medium,3,no
char_abraxas,Abraxas,player_0106,Rael,Rael [Dario],Dario,listed_same_player,accepted,medium,evidence_player_group_0106,,,,,,,,,,,,whois_abraxas_1780898720,Dwarf,Dwarf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Dwarf | base_class_unknown,1,no
char_acheron,Acheron,player_0058,Steele,Steele [Dan],Dan,listed_same_player,accepted,medium,evidence_player_group_0058,,,,,,,,,,,,whois_acheron_1780898725,Sindarin Champion,Elf,Sindarin,Free Peoples,medium,General,General,Champion,medium,,,,,,,,,,classified,race_term=Sindarin | class_title=Champion | who_class_group=General | class_confidence=medium,1,no
char_achilles,Achilles,player_0002,Ajax,Ajax,,listed_same_player,accepted,medium,evidence_player_group_0002,,,,,,,,,,,,whois_achilles_1780898731,Dúnadan Hero,Man,Dúnedain,Free Peoples,medium,General,General,Hero,medium,,,,,,,,,,classified,race_term=Dúnadan | class_title=Hero | who_class_group=General | class_confidence=medium,1,no
char_adama,Adama,player_0185,Buggar,Buggar [Adam],Adam,listed_same_player,accepted,medium,evidence_player_group_0185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_adanedhel,Adanedhel,player_0038,Sabadon,Sabadon,,listed_same_player,accepted,medium,evidence_player_group_0038,,,,,,,,,,,,whois_adanedhel_1780898742,Man,Man,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Man | base_class_unknown,1,no
char_adorable,Adorable,player_0063,Ling,Ling,,listed_same_player,accepted,medium,evidence_player_group_0063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_aegon,Aegon,player_0103,Edvard,Edvard [Aron],Aron,listed_same_player,accepted,medium,evidence_player_group_0103,,,,,,,,,,,,whois_aegon_1780899052,Man,Man,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Man | base_class_unknown,1,no
char_aew,Aew,player_0194,Morfizm,Morfizm [Dmitry],Dmitry,listed_same_player,accepted,medium,evidence_player_group_0194,,,,,,,,,,,,whois_aew_1780899058,Elf,Elf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Elf | base_class_unknown,1,no
char_agan,Agan,player_0079,Feon,Feon [Johan],Johan,listed_same_player,accepted,medium,evidence_player_group_0079,,,,,,,,,,,,whois_agân_1780899063,Tarkhnarb Shaman,Orc,Tarkhnarb,Minions of Sauron,high,Cleric,Cleric,Shaman,low,,,,,,,,,,classified,race_term=Tarkhnarb | class_title=Shaman | who_class_group=Cleric | class_confidence=low,1,no
char_agannalo,Agannalo,player_0131,Feagil,Feagil,,listed_same_player,accepted,medium,evidence_player_group_0131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_agannardu,Agannardu,player_0030,Manatark,Manatark [Kaido],Kaido,listed_same_player,accepted,medium,evidence_player_group_0030,,,,,,,,,,,,whois_agannardu_1780899074,Black Númenórean,Man,Black Númenórean,Minions of Sauron,high,,,,,,,,,,,,,,race_only,race_term=Black Númenórean | base_class_unknown,1,no
char_agarakhor,Agarakhor,player_0047,Idun,Idun,,listed_same_player,accepted,medium,evidence_player_group_0047,,,,,,,,,,,,whois_agarakhor_1780899080,Black Númenórean Warlock,Man,Black Númenórean,Minions of Sauron,high,Magic-user,Magic-user,Warlock,high,,,,,male,medium,,,,classified,race_term=Black Númenórean | class_title=Warlock | who_class_group=Magic-user | class_confidence=high,1,no
char_agarde,Agarde,player_0065,Wryak,Wryak [Tapio],Tapio,listed_same_player,accepted,medium,evidence_player_group_0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
