immortal_evidence_id,character_id,character_key,display_name,source_character_name,immortal_status,immortal_category,is_maiar_muddler,honorary_immortal,evidence_kind,source_id,source_name,source_type,source_url,source_command,source_date_context,source_order,evidence_excerpt,confidence,review_status,notes
immortal_2026_06_16_retired_immortals_access_293_listed_retired_immortal,char_access,Access,Access,Access,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,293,Access is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_acke_294_listed_retired_immortal,char_acke,Acke,Acke,Acke,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,294,Acke is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_ada_295_listed_retired_immortal,char_ada,Ada,Ada,Ada,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,295,Ada is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_adara_296_listed_retired_immortal,char_adara,Adara,Adara,Adara,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,296,Adara is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_aderel_297_listed_retired_immortal,char_aderel,Aderel,Aderel,Aderel,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,297,Aderel is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_aderyn_81_listed_retired_immortal,char_aderyn,Aderyn,Aderyn,Aderyn,retired,Maia,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,81,Aderyn is listed as retired a Maia.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_aellynn_298_listed_retired_immortal,char_aellynn,Aellynn,Aellynn,Aellynn,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,298,Aellynn is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_aetirus_299_listed_retired_immortal,char_aetirus,Aetirus,Aetirus,Aetirus,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,299,Aetirus is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_agamand_300_listed_retired_immortal,char_agamand,Agamand,Agamand,Agamand,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,300,Agamand is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
immortal_2026_06_16_retired_immortals_aglaruin_301_listed_retired_immortal,char_aglaruin,Aglaruin,Aglaruin,Aglaruin,retired,Boardreader,no,no,listed_retired_immortal,2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,301,Aglaruin is listed as retired a Boardreader.,medium,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
