character_key,display_name,immortal_status,immortal_category,is_maiar_muddler,honorary_immortal,known_character_id,whois_checked,reason,source_id,source_name,source_date_context,notes
Akihiko,Akihiko,retired,Boardreader,no,no,char_akihiko,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Aule,Aule,retired,Maia,no,no,char_aule,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Barney,Barney,retired,Maia,no,no,char_barney,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Betsy,Betsy,retired,Boardreader,no,no,char_betsy,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Blackfox,Blackfox,retired,Boardreader,no,no,char_blackfox,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Creston,Creston,retired,Maia,no,no,char_creston,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Dargor,Dargor,retired,Boardreader,no,no,char_dargor,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Darthang,Darthang,retired,Vala,no,no,char_darthang,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Destiny,Destiny,retired,Maia,no,no,char_destiny,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Dorin,Dorin,retired,Maia,no,no,char_dorin,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Draak,Draak,retired,Maia,no,no,char_draak,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Durmegil,Durmegil,current,Maia,no,no,char_durmegil,yes,immortal source row; no imported whois record found,2026_06_16_current_immortals,MUME current immortal list,List current as of 2026-06-16,Copied by Lewis. (+m) means the immortal is also a Maiar Muddler / muddle code contributor.
Elfan,Elfan,retired,Maia,no,no,char_elfan,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
Yavanna,Yavanna,retired,Aratar,no,no,char_yavanna,yes,immortal source row; no imported whois record found,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
