character_id,character_name,player_main_handle,player_known_by,derived_race,derived_faction,derived_base_class,derived_gender,classification_status,has_whois_display,has_colour_whois,mention_count,group_candidate_count,classification_review_needed,page_review_needed,page_slug
char_aalok,Aalok,Basha,Basha,,,,,no_whois_classification,no,no,0,0,yes,yes,aalok
char_adama,Adama,Buggar,Buggar [Adam],,,,,no_whois_classification,no,no,0,0,yes,yes,adama
char_adorable,Adorable,Ling,Ling,,,,,no_whois_classification,no,no,0,0,yes,yes,adorable
char_agan,Agan,Feon,Feon [Johan],,,,,no_whois_classification,no,no,0,0,yes,yes,agan
char_agannalo,Agannalo,Feagil,Feagil,,,,,no_whois_classification,no,no,0,0,yes,yes,agannalo
char_agarde,Agarde,Wryak,Wryak [Tapio],,,,,no_whois_classification,no,no,0,0,yes,yes,agarde
char_agattax,Agattax,Agattax,Agattax [Robin],,,,,no_whois_classification,no,no,0,0,yes,yes,agattax
char_agent,Agent,Namo,Namo,,,,,no_whois_classification,no,no,0,0,yes,yes,agent
char_aiele,Aiele,Aiele,Aiele [Joel],,,,,no_whois_classification,no,no,0,0,yes,yes,aiele
char_ainafea,Ainafea,Ainafea,Ainafea,,,,,no_whois_classification,no,no,0,0,yes,yes,ainafea
char_ainairos,Ainairos,Bobbie,Bobbie,,,,,no_whois_classification,no,no,0,0,yes,yes,ainairos
char_alazar,Alazar,Omen,Omen [Alexander],,,,,no_whois_classification,no,no,0,0,yes,yes,alazar
char_albundy,AlBundy,Nighthawk,Nighthawk,,,,,no_whois_classification,no,no,0,0,yes,yes,albundy
char_alhadar,Alhadar,Sabadon,Sabadon,,,,,no_whois_classification,no,no,0,0,yes,yes,alhadar
char_alweon,Alweon,Alweon,Alweon,,,,,no_whois_classification,no,no,0,0,yes,yes,alweon
char_amantest,Amantest,Amandil,Amandil,,,,,no_whois_classification,no,no,0,0,yes,yes,amantest
char_amarie,Amarie,Filibert,Filibert,,,,,no_whois_classification,no,no,0,0,yes,yes,amarie
char_amdir,Amdir,Steele,Steele [Dan],,,,,no_whois_classification,no,no,0,0,yes,yes,amdir
char_ancra,Ancra,Ancra,Ancra [Harry],,,,,no_whois_classification,no,no,0,0,yes,yes,ancra
char_andarion,Andarion,Nardhal,Nardhal,,,,,no_whois_classification,no,no,0,0,yes,yes,andarion
char_anezka,Anezka,Evandaar,Evandaar [Daniel],,,,,no_whois_classification,no,no,0,0,yes,yes,anezka
char_angrenfea,Angrenfea,Angrenfea,Angrenfea [Toivo],,,,,no_whois_classification,no,no,0,0,yes,yes,angrenfea
char_annesh,Annesh,Nazgum,Nazgum,,,,,no_whois_classification,no,no,0,0,yes,yes,annesh
char_anolad,Anolad,Nazgum,Nazgum,,,,,no_whois_classification,no,no,0,0,yes,yes,anolad
char_ariakan,Ariakan,Aram,Aram,,,,,no_whois_classification,no,no,0,0,yes,yes,ariakan
char_ariala,Ariala,Ariala,Ariala [Sandman],,,,,no_whois_classification,no,no,0,0,yes,yes,ariala
