character_id,character_name,derived_gender,derived_gender_confidence,source_descriptor,derived_race,derived_faction,derived_base_class,derived_class_title,classification_status,classification_notes,review_needed
char_agarakhor,Agarakhor,male,medium,Black Númenórean Warlock,Man,Minions of Sauron,Mage,Warlock,classified,race_term=Black Númenórean | class_title=Warlock,no
char_aglar,Aglar,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_agonor,Agonor,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_akela,Akela,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_akhorahil,Akhorahil,male,medium,Black Númenórean Priest,Man,Minions of Sauron,Cleric,Priest,classified,race_term=Black Númenórean | class_title=Priest,no
char_ali,Ali,male,medium,Firebeard Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Firebeard | class_title=Battlemaster,no
char_andris,Andris,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_anton,Anton,male,medium,Silvan Wizard,Elf,Free Peoples,Mage,Wizard,classified,race_term=Silvan | class_title=Wizard,no
char_arte,Arte,male,medium,Eriadorian Battlemaster,Man,Free Peoples,Warrior,Battlemaster,classified,race_term=Eriadorian | class_title=Battlemaster,no
char_azmodan,Azmodan,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_baldy,Baldy,male,medium,Black Númenórean Priest,Man,Minions of Sauron,Cleric,Priest,classified,race_term=Black Númenórean | class_title=Priest,no
char_balin,Balin,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_balthazar,Balthazar,male,medium,Black Númenórean Wizard,Man,Minions of Sauron,Mage,Wizard,classified,race_term=Black Númenórean | class_title=Wizard,no
char_baresark,Baresark,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_beleghir,Beleghir,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_berin,Berin,male,medium,Noldorin Wizard,Elf,Free Peoples,Mage,Wizard,classified,race_term=Noldorin | class_title=Wizard,no
char_boot,Boot,male,medium,Fallohide Priest,Hobbit,Free Peoples,Cleric,Priest,classified,race_term=Fallohide | class_title=Priest,no
char_botesia,Botesia,male,medium,Dúnadan Wizard,Man,Free Peoples,Mage,Wizard,classified,race_term=Dúnadan | class_title=Wizard,no
char_brog,Brog,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_buffer,Buffer,male,medium,Dwarven Axemaster,Dwarf,Free Peoples,Warrior,Axemaster,classified,race_term=Dwarven | class_title=Axemaster,no
char_butrus,Butrus,male,medium,Noldorin Wizard,Elf,Free Peoples,Mage,Wizard,classified,race_term=Noldorin | class_title=Wizard,no
char_butter,Butter,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_casque,Casque,male,medium,Black Númenórean Wizard,Man,Minions of Sauron,Mage,Wizard,classified,race_term=Black Númenórean | class_title=Wizard,no
char_chak,Chak,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_cryl,Cryl,male,medium,Sindarin Enchanter,Elf,Free Peoples,Mage,Enchanter,classified,race_term=Sindarin | class_title=Enchanter,no
char_daz,Daz,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_dell,Dell,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_dliador,Dliador,male,medium,Sindarin Warlock,Elf,Free Peoples,Mage,Warlock,classified,race_term=Sindarin | class_title=Warlock,no
char_dombur,Dombur,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_dorolff,Dorolff,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_draconis,Draconis,male,medium,Silvan Warlock,Elf,Free Peoples,Mage,Warlock,classified,race_term=Silvan | class_title=Warlock,no
char_dragor,Dragor,male,medium,Half-elven Priest,Half-Elf,Free Peoples,Cleric,Priest,classified,race_term=Half-elven | class_title=Priest,no
char_drax,Drax,male,medium,Black Númenórean Warlock,Man,Minions of Sauron,Mage,Warlock,classified,race_term=Black Númenórean | class_title=Warlock,no
