source_whois_id,source_character_id,source_character_name,whois_descriptor,whois_text_excerpt,has_ascii_art,ascii_art_score,ascii_art_line_count,ascii_art_excerpt
whois_norsu_1780833799,char_norsu,Norsu,Tarkhnarb Champion,"Norsu has left the building is a level one hundred
    Tarkhnarb Champion [Retired].

      .-""-.
     /|6 6|\
    {/(_0_)\}
     _/ ^ \_
    (/ /^\ \)-'
     """"' '""""

Remember the puppy!",yes,11.5,4,"     /|6 6|\
    {/(_0_)\}
     _/ ^ \_
    (/ /^\ \)-'"
whois_rik_1780833974,char_rik,Rik,Maia,"Rik Tik TIK BOOM! Served more than 157 kits is a Maia
    (Wright) [Retired].
        __-::..     .-----. .=. .-. .-.
      _/ _/ _/':.   '-+ +-' '=' | |/ /
     / // // / ':.    | |   .-. | ' /
    / // // /   ::    | |   | | | . \   .--.   .--.   .--.  .--.  .--.
   =========     ::   | |   | | | |\ \  | + \ /    \ /    \ |   \/   |
  / // // /      **   '-'   '-' '-' '-' |   / N /\ N N /\ N | |\  /| |
 / // // /                              | + \ N \/ N N \/ N | | \/ | |
(_)(_)(_)                               |   / \    / \    / | |    | |
 (_)(_)         TIK                     '--'   '--'   '--'  '-'    '-'
   (_)
The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,
Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza
The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,
Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Tim",yes,40.5,9,"        __-::..     .-----. .=. .-. .-.
      _/ _/ _/':.   '-+ +-' '=' | |/ /
     / // // / ':.    | |   .-. | ' /
    / // // /   ::    | |   | | | . \   .--.   .--.   .--.  .--.  .--.
   =========     ::   | |   | | | |\ \  | + \ /    \ /    \ |   \/   |
  / // // /      **   '-'   '-' '-' '-' |   / N /\ N N /\ N | |\  /| |
 / // // /                              | + \ N \/ N N \/ N | | \/ | |
(_)(_)(_)                               |   / \    / \    / | |    | |
 (_)(_)         TIK                     '--'   '--'   '--'  '-'    '-'"
whois_rik_1780880030,char_rik,Rik,Maia,"Rik Tik TIK BOOM! Served more than 157 kits is a Maia
    (Wright) [Retired].
        __-::..     .-----. .=. .-. .-.
      _/ _/ _/':.   '-+ +-' '=' | |/ /
     / // // / ':.    | |   .-. | ' /
    / // // /   ::    | |   | | | . \   .--.   .--.   .--.  .--.  .--.
   =========     ::   | |   | | | |\ \  | + \ /    \ /    \ |   \/   |
  / // // /      **   '-'   '-' '-' '-' |   / N /\ N N /\ N | |\  /| |
 / // // /                              | + \ N \/ N N \/ N | | \/ | |
(_)(_)(_)                               |   / \    / \    / | |    | |
 (_)(_)         TIK                     '--'   '--'   '--'  '-'    '-'
   (_)
The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,
Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza
The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,
Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Tim",yes,40.5,9,"        __-::..     .-----. .=. .-. .-.
      _/ _/ _/':.   '-+ +-' '=' | |/ /
     / // // / ':.    | |   .-. | ' /
    / // // /   ::    | |   | | | . \   .--.   .--.   .--.  .--.  .--.
   =========     ::   | |   | | | |\ \  | + \ /    \ /    \ |   \/   |
  / // // /      **   '-'   '-' '-' '-' |   / N /\ N N /\ N | |\  /| |
 / // // /                              | + \ N \/ N N \/ N | | \/ | |
(_)(_)(_)                               |   / \    / \    / | |    | |
 (_)(_)         TIK                     '--'   '--'   '--'  '-'    '-'"
whois_rik_1780880388,char_rik,Rik,Maia,"Rik Tik TIK BOOM! Served more than 157 kits is a Maia (Wright)
    [Retired].
        __-::..     .-----. .=. .-. .-.
      _/ _/ _/':.   '-+ +-' '=' | |/ /
     / // // / ':.    | |   .-. | ' /
    / // // /   ::    | |   | | | . \   .--.   .--.   .--.  .--.  .--.
   =========     ::   | |   | | | |\ \  | + \ /    \ /    \ |   \/   |
  / // // /      **   '-'   '-' '-' '-' |   / N /\ N N /\ N | |\  /| |
 / // // /                              | + \ N \/ N N \/ N | | \/ | |
(_)(_)(_)                               |   / \    / \    / | |    | |
 (_)(_)         TIK                     '--'   '--'   '--'  '-'    '-'
   (_)
The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,
Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza
The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,
Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Tim",yes,40.5,9,"        __-::..     .-----. .=. .-. .-.
      _/ _/ _/':.   '-+ +-' '=' | |/ /
     / // // / ':.    | |   .-. | ' /
    / // // /   ::    | |   | | | . \   .--.   .--.   .--.  .--.  .--.
   =========     ::   | |   | | | |\ \  | + \ /    \ /    \ |   \/   |
  / // // /      **   '-'   '-' '-' '-' |   / N /\ N N /\ N | |\  /| |
 / // // /                              | + \ N \/ N N \/ N | | \/ | |
(_)(_)(_)                               |   / \    / \    / | |    | |
 (_)(_)         TIK                     '--'   '--'   '--'  '-'    '-'"
whois_awesome_1780902744,char_awesome,Awesome,Hill Troll Warrior,"Awesome ! is a level twenty-eight Hill Troll Warrior [Retired].

    a push-up breast-holder

        .-""-.
       / /\_ \
      / /'>'\ \
     (  \ = /  )
      )  ) (  (
     (_.;`""`;._)
    / (  \|/  ) \
   /  /\-'^'-/\  \
  |  \| )=@=( |/  |",yes,30.0,9,"        .-""-.
       / /\_ \
      / /'>'\ \
     (  \ = /  )
      )  ) (  (
     (_.;`""`;._)
    / (  \|/  ) \
   /  /\-'^'-/\  \
  |  \| )=@=( |/  |"
whois_azalyn_1780902755,char_azalyn,Azalyn,Noldorin Scholar,"Azalyn Goza XVI is a level twenty-three Noldorin Scholar
    [Retired].
Last login 23 years, 2 months, and 26 days ago from *.be.
             ___                      _
         _.-|   |                    ( (
        {   |   |       /\___/\      | |
         ""-.|___|       \ o o / ___ _) )
          .__|_|_.     _(  Y  )  \. `O /
          |      |   _((_ `^-' _ /__<  \
        .+|______|_.-|__)`-' (((/   ((_d
  On the net, nobody knows you're really a Cat...",yes,29.0,7,"             ___                      _
         _.-|   |                    ( (
        {   |   |       /\___/\      | |
         ""-.|___|       \ o o / ___ _) )
          .__|_|_.     _(  Y  )  \. `O /
          |      |   _((_ `^-' _ /__<  \
        .+|______|_.-|__)`-' (((/   ((_d"
whois_betty_1780903080,char_betty,Betty,Beorning Champion,"Betty is a level fifteen Beorning Champion [Retired].
Last login 22 years, 10 months, and 24 days ago from *.org.
          ,=-=--=-.
      .--/         \--.
      | C) ,/""""""""/""/C |
      ""-( (/    (  .-""
       ( |  ^ o ^  | )
        ) \  -`-  / (
       (  |""-,-,-""|  )
    .---'-'`""'-'""'`-'---.
   /                 ('''\
   |/''')             \   \sl",yes,36.5,10,"          ,=-=--=-.
      .--/         \--.
      | C) ,/""""""""/""/C |
      ""-( (/    (  .-""
       ( |  ^ o ^  | )
        ) \  -`-  / (
       (  |""-,-,-""|  )
    .---'-'`""'-'""'`-'---.
   /                 ('''\
   |/''')             \   \sl"
whois_blackfoot_1780903147,char_blackfoot,Blackfoot,Tarkhnarb Rider,"Blackfoot the Wolfrider, Original Cajun Cannibal is a level forty
    Tarkhnarb Rider [Retired].
     /\/\        /\  /\  /\  /\  /\  /\  /\  /\  /\  /\        /\/\
     \/ / /\  /\/  \/  \/  \/  \/  \/  \/  \/  \/  \/  \/\  /\ \ \/
     / /\/  \/  \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\/  \/  \/\ \
    / /\ \_\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/ /\/ /_/ /\ \
    \ \/\   \  /\  /\  /\  /\  /\  /\  /\  /\  /\  /\  /\  /   /\/ /
     \/ /\  /\/  \/  \/  \/  \/  \/  \/  \/  \/  \/  \/  \/\  /\ \/
     / /\ \/   The Dark Lord marked this one at birth: his  \/ /\ \
     \  /  short, silvery fur is a pitch black from the knee   \  /
      \/  down. This ever-present reminder keeps him tuned to   \/
         the will of his master, which he fervently carries out.",yes,26.5,6,"     /\/\        /\  /\  /\  /\  /\  /\  /\  /\  /\  /\        /\/\
     \/ / /\  /\/  \/  \/  \/  \/  \/  \/  \/  \/  \/  \/\  /\ \ \/
     / /\/  \/  \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\/  \/  \/\ \
    / /\ \_\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/\ \/ /\/ /_/ /\ \
    \ \/\   \  /\  /\  /\  /\  /\  /\  /\  /\  /\  /\  /\  /   /\/ /
     \/ /\  /\/  \/  \/  \/  \/  \/  \/  \/  \/  \/  \/  \/\  /\ \/"
whois_bobba_1780903196,char_bobba,Bobba,Black Númenórean Magician,"Bobba is a level twelve Black Númenórean Magician [Retired].
     o_O            _____________________________
     (.)     **    /____________________________/|
      `_    ^.    |If you cant see what this is,||
   Ò--|)|   \|-   |you smell like T-red. But... ||
      / |    |    |   Let me put it simple:     ||
      | ))/_( )   |Me and my beerbelly kicks ass||
     _||    _|    |_____________________________||",yes,17.5,5,"     o_O            _____________________________
     (.)     **    /____________________________/|
   Ò--|)|   \|-   |you smell like T-red. But... ||
      / |    |    |   Let me put it simple:     ||
     _||    _|    |_____________________________||"
whois_buller_1780907349,char_buller,Buller,Mountain Troll Warrior,"Buller O Bong, The LoLog is a level twenty-two Mountain Troll
    Warrior [Retired].
           .:\:/:.
         .:\:\:/:/:.
        :.:\:\:/:/:.:
       :=.' -   - '.=:
       '=(\ 9   9 /)='
          (  (_)  )   Rawr!
          /`-vvv-'\
         /         \
        / /|,,,,,|\ \
       /_//  /^\  \\_\
       WW(  (   )  )WW
        __\,,\ /,,/__
       (______Y______)",yes,42.0,13,"           .:\:/:.
         .:\:\:/:/:.
        :.:\:\:/:/:.:
       :=.' -   - '.=:
       '=(\ 9   9 /)='
          (  (_)  )   Rawr!
          /`-vvv-'\
         /         \
        / /|,,,,,|\ \
       /_//  /^\  \\_\
       WW(  (   )  )WW
        __\,,\ /,,/__
       (______Y______)"
