source_whois_id,source_character_id,source_character_name,whois_descriptor,whois_text_excerpt,mentioned_name,mention_type,heading,evidence_excerpt,confidence,matched_known_character
whois_gray_1780820809,char_gray,Gray,Noldorin Wizard,"…
[Retired].
Last login 20 years, 4 months, and 12 days ago from
    [numerical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM",Santana,comma_name_list,,"other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,",high,yes
whois_gray_1780820809,char_gray,Gray,Noldorin Wizard,"…
[Retired].
Last login 20 years, 4 months, and 12 days ago from
    [numerical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM",Corvin,comma_name_list,,"other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,",high,yes
whois_gray_1780820809,char_gray,Gray,Noldorin Wizard,"…
[Retired].
Last login 20 years, 4 months, and 12 days ago from
    [numerical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM",Varvar,comma_name_list,,"other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,",high,yes
whois_gray_1780820809,char_gray,Gray,Noldorin Wizard,"…
[Retired].
Last login 20 years, 4 months, and 12 days ago from
    [numerical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM",Ulairy,comma_name_list,,"other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,",high,yes
whois_gray_1780820809,char_gray,Gray,Noldorin Wizard,"…
[Retired].
Last login 20 years, 4 months, and 12 days ago from
    [numerical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM",Vugluskr,comma_name_list,,"other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,",high,yes
whois_gray_1780820809,char_gray,Gray,Noldorin Wizard,"…
[Retired].
Last login 20 years, 4 months, and 12 days ago from
    [numerical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM",Orkanoid,comma_name_list,,"other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,",high,yes
whois_gray_1780820809,char_gray,Gray,Noldorin Wizard,"…
rical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM",Emmanuelle,comma_name_list,,"Emmanuelle, Akela, Aeruscator.",low,no
whois_gray_1780820809,char_gray,Gray,Noldorin Wizard,"…
rical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM",Akela,comma_name_list,,"Emmanuelle, Akela, Aeruscator.",high,yes
whois_gray_1780820809,char_gray,Gray,Noldorin Wizard,"…
rical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM",Aeruscator,comma_name_list,,"Emmanuelle, Akela, Aeruscator.",high,yes
whois_gray_1780831197,char_gray,Gray,Noldorin Wizard,"…
[Retired].
Last login 20 years, 4 months, and 12 days ago from
    [numerical address].

  373/37/11/11/5 (pkills/pkdeaths/mobdeaths/other deaths/demoted levels)
  Max warpoints: warlord.

  ""Newbie scientist is one who wants to change the world. Experienced one is
one changed by the world already.""       I won't try to change it anymore...

  other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,
Emmanuelle, Akela, Aeruscator.
                   MUME site: http://www.cnt.ru/users/snape/MAIN/MAIN.HTM

!# CW>",Santana,comma_name_list,,"other legends: Candid, Santana, Corvin, Varvar, Ulairy, Vugluskr, Orkanoid,",high,yes
